RegionName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
77449,107022,107035,106837,106842,106873,107086,107241,107470,107852,108087,108540,108944,108998,108802,108273,108089,108149,108306,108451,108223,108263,108418,108702,108813,108933,109109,109685,110280,110811,111203,111695,112387,112997,113525,113862,114185,114460,114680,115011,115337,115751,116028,116281,116505,116649,116787,116757,116829,117073,118113,119753,120905,121993,122138,123111,123474,124045,124243,124770,125576,126365,126940,127241,127390,127183,127078,126818,126571,126148,125661,125549,125366,125393,125153,125210,125191,125540,125938,126417,126911,127426,128347,128998,129812,129962,129887,129534,129853,130534,131322,131777,132335,132834,133179,133260,133171,132422,131553,130772,130496,130084,129618,129210,128374,127225,126108,125124,123980,122855,122466,122393,122496,122563,122797,123259,123427,123527,123272,123374,123652,123726,123787,124032,124599,124967,124848,123968,122559,121415,120568,120130,119684,119149,118373,117213,116142,115437,114991,114893,114781,114461,113884,112652,111625,111171,111330,111862,112053,112310,112577,113356,114432,115093,115322,115559,115990,116901,118033,119891,121927,123955,125595,127354,128966,130619,132127,133702,135033,136533,137956,139038,139791,140395,141586,142774,144245,145509,146862,148139,149624,151261,152732,154438,155690,156939,157910,158622,159284,160088,161334,162326,163154,164482,165692,166414,166380,166768,167352,168107,168565,168966,169203,170196,171182,171724,171949,172230,172792,172989,173205,172997,173192,173579,174526,175272,175859,176452,176942,177458,178438,179375,180179,180513,181226,182039,182971,183692,184389,185278,185944,186371,186306,186474,186911,187563,188153,188471,189202,190447,191588,191801,191831,192938,194597,195723,195949,196306,197100,199223,201506,204096,206426,208674,211581,213060,215284,217992,223484,229439,235788,240878,245468,248825,252759,256703,261364,267052,273342,279445,284486,287887,289807
77494,223494,223809,224529,225749,225314,224980,223865,224204,223807,224475,225628,227033,227636,226940,226073,225222,226536,228051,229224,229534,229102,229163,228698,227746,227164,226847,227736,228404,229506,230253,230117,229514,228139,227576,226778,227648,228997,230557,231337,231633,231834,232407,232967,233727,233605,233932,233927,234734,235811,237160,238862,239440,240017,240557,241448,242624,243471,244566,245639,246405,247540,248779,249679,249689,248977,248400,248208,247702,247107,246608,246325,246875,247619,248471,249216,249640,250287,250791,251469,252793,253829,254517,254493,255123,255966,256624,256789,256867,257212,257476,258210,259501,260923,262156,262705,263785,263884,263949,263033,262529,262433,262916,263678,263773,263184,261585,260074,259084,258794,259699,260767,262136,262274,262587,263155,263441,263160,263512,264515,265693,266622,267958,270213,271790,272997,273267,272443,271143,268096,265806,263735,263241,263515,263672,263335,262657,261969,262051,261818,260996,260375,259844,260226,259972,261078,262318,264076,265622,266897,267789,268176,268274,268024,267512,267430,267885,268824,270650,273155,276496,279778,283435,286417,289611,292713,295684,298718,300315,303942,307393,311352,312599,313473,314774,316986,318953,321527,323834,326383,328789,330838,332670,333562,334986,336777,338136,338667,338649,339159,339784,339968,340366,339526,338088,336723,336330,336600,335202,333632,332158,331912,331859,332292,332469,332251,332530,332638,332428,331459,330833,330781,330690,331082,331520,332023,333109,334142,334095,333484,333626,334526,334975,334811,335187,336269,337161,338084,337835,338113,337647,337500,336498,335815,335260,335508,335627,336416,336820,337154,336871,336503,336114,336405,337271,338224,338664,338804,340101,341684,344318,347562,352032,356051,360603,365997,372511,379443,388157,398857,409699,418781,426703,433752,439463,445527,455014,466640,480345,491744,499245,501521,499656
79936,90944,90944,90977,90942,90960,90918,90903,90856,90322,89685,88814,88676,88631,88759,88318,88026,87589,87422,87188,86963,86800,86531,86381,85990,85732,85584,85818,85983,86248,86432,86825,87057,87364,87651,87893,88232,88352,88573,88577,88647,88729,88841,89042,89470,89945,90365,90791,91163,91643,92375,93359,94385,95193,96273,97432,98419,98984,99639,100116,100349,100978,101808,102900,103203,103361,103593,104067,104920,105826,106672,107365,107971,108591,109218,110347,111715,113426,115142,116878,118699,120655,122912,124774,126085,126122,126622,126724,128479,129922,132179,133565,134308,134604,134874,135600,136044,135062,133713,132353,132007,131372,130615,129465,128436,127779,127733,127674,127103,126535,126285,126027,125366,124675,124286,124270,124112,123958,123799,123903,124210,125136,125533,125931,125460,125570,125162,124777,124227,124071,123680,123331,122822,122494,122200,122210,122487,122342,121800,121370,121233,120928,120456,120082,120109,120437,120132,119747,119174,119331,119532,119703,119647,119317,118733,118267,118409,118934,119677,119945,120140,120136,120144,119916,119626,119610,120004,120622,120974,121266,121338,121849,121943,121832,121180,120771,120919,120956,120646,119991,119892,120049,120109,120109,120213,120468,120746,120882,120783,120433,120523,120713,121074,121140,121348,121676,121854,121883,121409,121119,121219,121755,122388,123075,123832,124528,125034,125219,125809,126172,126490,126402,126472,126516,126368,125919,125649,125540,125579,125397,125220,125230,126075,127069,127843,128339,128779,129373,129804,130314,131029,131965,132969,134087,135176,135960,136488,135934,135136,134661,134991,135868,136678,137178,137452,137669,138161,139067,140047,141832,143934,146011,147842,149572,151268,153092,154887,157606,160489,163545,166363,169266,171581,173549,175165,177176,179147,181316,184703,188330,191792,194033,195742
77084,106747,106688,106428,106372,106332,106497,106535,106723,107122,107448,108012,108608,108905,108903,108406,108160,108099,108234,108500,108379,108530,108654,108993,109130,109290,109542,110123,110804,111429,111935,112323,112787,113105,113409,113550,113803,114103,114365,114694,114931,115119,115185,115351,115782,116076,116431,116541,116767,117064,118135,119920,121132,122153,122058,122952,123341,124187,124425,124968,125508,126033,126404,126561,126812,126670,126733,126481,126240,125767,125552,125602,125576,125474,125204,125369,125489,126054,126448,126931,127328,127839,128616,129238,129867,130058,129942,129695,129874,130303,131002,131420,131983,132284,132681,132878,133112,132478,131767,131007,130910,130616,130291,129932,129389,128600,127949,127243,126529,125648,125494,125492,125766,125999,126405,126996,127288,127346,126916,126884,127081,127205,127254,127483,127923,128225,128035,127137,125674,124420,123527,123008,122534,122048,121453,120453,119730,119225,118921,118748,118698,118631,118326,117273,116498,116292,116624,117121,117226,117301,117299,117728,118232,118465,118397,118654,119187,120157,121292,123063,124895,126711,128029,129378,130676,132000,133289,134607,135712,136979,138174,139141,139828,140570,141854,143126,144522,145802,147000,148151,149406,150898,152311,154024,155396,156717,157681,158326,158800,159412,160437,161303,161878,163031,164012,164709,164599,164993,165557,166304,166509,166679,166790,167792,168819,169327,169631,170009,170706,171040,171427,171406,171633,171931,172602,173130,173380,173701,174033,174578,175728,176919,177972,178661,179670,180731,181827,182696,183468,184352,184959,185337,185284,185421,185924,186517,187150,187448,188309,189340,190277,190234,190331,191376,192993,194133,194601,195214,196259,198583,200985,203592,205824,208056,210925,212538,214811,217291,222330,227874,234214,239227,243664,246635,250127,253559,257727,262999,268809,274339,278739,281664,283336
78660,162610,163068,163266,163792,164150,164520,164415,164594,164728,165405,165833,166351,166686,166926,167219,167720,168046,168368,168665,169029,169138,169165,169363,169377,169643,169658,170105,170216,170544,170915,171122,171030,170904,170752,170512,169807,169262,168918,169152,169142,169196,168679,168708,168548,168600,168481,168340,168253,168210,168929,169529,169930,169768,169790,169991,170592,171082,171729,172239,173098,173525,173667,173323,173260,173265,173863,174062,174150,174001,174110,174388,174922,175387,175744,175854,176023,176215,176387,176631,176953,177553,178052,178600,178865,179240,179416,179512,179641,180339,180968,181677,182307,183171,184114,185142,186368,186987,186866,186815,186897,187133,186576,186205,185591,185009,184148,182235,180677,179569,179409,179019,178276,177976,177823,177815,177722,177515,177154,177402,177606,177388,177065,176869,177275,177535,177668,177213,176560,175870,175046,173825,172696,172069,171671,171528,171753,171765,171387,170600,170705,170809,170757,170052,169186,168974,169387,170264,171108,171874,172679,173211,173177,173639,173728,173896,174178,174864,176259,177792,180378,182422,184299,185735,187005,188191,189454,191504,193055,194397,195205,196186,197095,198378,199827,201195,202401,203687,205076,206359,207668,209326,211137,212671,213522,214519,215831,218200,220512,222357,223678,225182,227422,229867,231739,233321,234466,235394,236252,237206,237991,238959,240720,243111,245108,245576,246105,246888,248212,248795,249010,248781,249377,250364,251924,253061,254293,255489,256195,256447,256370,257033,258480,259912,261422,261576,262336,262354,263469,264652,266473,267295,268003,268160,268365,268081,268000,268810,269393,270769,272128,274284,275841,278080,280608,283210,284409,285931,288430,292970,297663,304002,309364,314779,323659,336096,354522,373176,395715,414972,429687,436320,442503,448700,460521,470857,483347,494840,504678,511659,507412,497438,485037
78521,,,,,,,,,,,,,77782,77967,78005,78060,77894,76999,76004,74858,74334,73843,73556,73407,73120,72888,72595,72596,72783,73445,74285,75070,75535,76056,76426,76694,76559,76491,76507,76725,76698,76578,76510,76707,76816,76719,76428,76443,76706,77386,77923,78869,79791,81030,81644,82793,83803,85093,85657,86280,86590,86946,87243,87857,88321,88499,88650,88711,89325,90227,91615,92809,93487,93559,93331,93158,93548,93914,94394,94662,94896,94897,94851,94627,94382,94254,94293,94094,93681,93296,93371,93406,93563,93623,93261,92742,91999,91667,91558,91310,91285,91125,91236,90835,90895,90988,92449,93288,93937,92551,91533,90517,89033,87076,85366,85104,85730,86547,87935,88691,89153,89799,90253,91513,92218,92935,92825,92862,93041,93546,93516,93088,92325,91538,90885,90100,89213,88506,87928,87383,86593,86088,85759,85998,86004,86069,86906,87542,88503,88290,88441,88026,87793,87964,88275,88816,88508,88448,87539,87614,87231,87793,87696,87764,87302,86644,86201,85997,86150,85997,85954,85691,85870,86293,86484,86467,86102,86123,86481,86552,86619,86684,86803,86599,86419,86722,87556,88565,89463,89158,88663,87919,88408,89652,90066,89852,89411,89523,89987,89635,89033,88176,87792,88146,89326,89934,90558,90690,90838,90914,90919,91362,91886,92856,93340,93837,93855,94021,94320,94330,94445,94071,94086,94040,93700,93037,92374,92437,93102,93892,94194,94233,94467,94658,95054,95735,96557,,,88681,89800,90925,91662,92218,93661,94321,94803,95652,97890,100423,102311,103591,105000,106716,108899,111339,114579,117724,120412,122863,125272,127721,129325,130910,132775,135552,137943,140642,142419,144940,147410,150103
75052,113765,113923,114036,114274,114520,114776,115010,115294,115567,115922,116352,116765,116891,116438,116013,115669,115654,115666,115784,116106,116277,116511,116555,116697,116777,117009,117413,117997,118654,119205,119650,120095,120594,121038,121438,121787,122051,122154,122291,122472,122786,123048,123179,123280,123310,123516,123705,123799,124542,125976,,130080,130919,131185,131259,131672,131965,132256,132502,132813,133736,134200,134671,134961,135355,135635,135554,135752,136076,136068,136051,135594,135289,135216,135164,135506,136193,136961,137380,137210,137150,137748,138286,139007,138807,138488,138102,138367,138790,139181,139456,139853,140336,140654,140556,140603,139328,137849,135910,135043,134387,133980,133845,133513,132749,131561,130360,129498,128874,128971,129139,129473,129668,129655,129575,129360,129264,129294,129770,130021,130149,130078,130119,130405,130544,130837,130529,130210,129477,128832,127816,127264,126942,126366,125831,124841,123889,122727,122269,122237,122353,122304,121944,121396,121208,121957,122837,123211,123155,123392,124272,125233,126024,126556,127090,127589,128312,128902,129753,130740,131890,132936,133613,134158,135053,136266,137641,138670,139223,139821,140386,140989,141718,142600,143119,143399,143751,144645,146052,147329,148474,149470,150595,152057,153557,154999,156416,157292,158344,159444,161172,162884,163941,164646,165194,166465,168282,170198,172253,173672,175141,176529,178271,180134,181835,183663,185179,186931,188610,190176,191547,192080,193012,194329,196493,198750,200899,203138,205099,206856,208426,210179,212124,214079,215493,216504,217683,219283,221406,222891,224162,224672,225289,225626,226052,226927,228104,228763,229267,229628,230886,231938,233158,233785,234174,234733,235744,237896,240356,243177,245355,247626,249700,252449,255518,259870,265147,271354,277603,284555,291018,296577,300723,305000,310518,318319,326308,335975,344230,351195,353836,353096
77433,180061,180178,179868,179985,179852,180082,180162,180758,181578,182220,182857,183511,183510,183227,181987,181214,180833,180807,180794,180132,180205,180561,181211,181449,181590,181773,182605,183775,184688,185142,185362,186122,186839,187494,187941,188499,189062,189468,189998,190416,190837,191168,191675,192039,192332,192566,192922,193062,193261,194766,,199723,201567,201530,203077,203489,204293,204498,204888,205566,205971,206363,206484,206872,206897,206752,206226,205727,205514,205146,205088,204780,204747,204245,204344,204376,205272,206352,207575,208841,209656,211025,211643,212760,213037,213225,212800,213244,213981,215046,215117,215414,215729,216576,217087,217540,216515,215559,214571,214562,214310,214000,214347,214285,213719,212327,210610,208606,206981,206597,206830,207434,208056,208938,209856,209969,209479,208399,208448,208938,209287,209706,210451,211442,211975,211652,210466,208114,206459,205326,204949,204454,204132,203738,202972,202352,201968,201787,201816,201971,201891,201593,200229,199359,199041,199697,200523,200847,201114,201157,201925,202974,203942,204399,205243,206028,207605,209379,212491,215586,218472,220439,222362,224472,226589,228864,230893,232714,234754,236637,238095,239270,240463,242569,244603,247263,249619,251799,253947,256156,258589,260336,262714,264476,266325,267445,267767,267743,268235,269549,270440,270587,271488,272314,272487,271595,271265,271322,271520,271798,271994,272097,272785,273846,274194,274137,273995,274420,274494,274506,273937,273932,274099,275080,275646,276244,276876,277339,277760,278552,279476,280275,280700,281629,282435,283481,284256,285196,286183,286864,286818,286399,286038,286344,286792,287182,287237,288210,289540,290676,290278,290304,291267,292794,293428,293703,294366,295710,298688,301850,305396,308592,311591,315995,318518,322141,325996,333913,342693,351856,358625,364535,368833,374022,379309,385494,393631,402719,412084,419941,425380,428275
77479,239250,240215,241183,243151,243879,243859,243466,243652,243988,244279,244686,245199,245470,245010,244236,243817,243781,243581,242999,242750,242824,242796,242566,242233,241847,241836,242047,243125,245110,247221,248094,248240,248165,248710,248662,249277,250242,251571,252312,252520,252575,252883,253264,253649,253835,254453,255379,255988,256617,257516,258820,259966,260767,262254,263406,264557,265518,266816,268188,268843,269353,269943,270790,271573,272264,272794,273760,274410,275229,275717,275848,275973,275806,275884,275784,275966,276716,277679,279229,281107,282797,283583,283565,284387,285494,286364,286567,286711,287244,287622,288215,289398,290760,292576,293764,295169,294652,294161,292942,292808,293126,294163,295532,295740,295198,293575,292105,290918,289685,290031,291036,292995,293844,294494,295271,295571,295015,295232,295704,296707,297529,299264,302084,304026,305426,305457,304715,303290,300064,296967,294120,293081,293332,293820,293604,292860,292092,292439,292631,291727,290491,289404,289593,289546,290563,291338,292892,294575,296273,297130,297560,297792,298163,297960,298106,298292,298469,299753,301999,305819,309230,313280,316342,319907,323137,326521,329581,331243,335184,339298,343942,345155,346016,347836,351156,354252,357934,361658,365928,369699,373095,375953,377628,379682,382223,384258,385159,385235,385850,386706,387522,388570,388181,386470,385131,384986,385708,384314,382696,381384,381660,382007,383224,383884,384344,384875,384972,384577,383488,383217,383277,383218,382940,382897,383179,384638,385612,385286,383882,383580,383762,383624,382737,382460,383086,383778,384451,384063,384459,384153,384009,382329,380660,379260,379101,378942,379483,379661,380472,380712,380782,380199,380544,381471,382657,382745,382151,382706,383722,386130,389205,393691,397699,402162,407431,413071,419466,426866,436872,446794,455764,463250,469579,474383,479825,489071,500803,514357,525179,531660,533104,530381
77573,,,,,,,,,,,,,158948,158988,158776,158594,158378,158242,158112,157867,157876,157906,158083,157905,157843,157795,158063,158331,158710,159359,159932,160569,161123,161855,162452,162925,163201,163734,164220,164802,165245,165820,166449,166999,167490,167864,168136,168273,168799,169616,170681,171687,173102,174415,175581,176518,177687,179050,180062,180930,181457,181802,182475,183247,184309,184843,185260,185855,186859,187438,187574,187645,187900,188170,188152,188678,189625,190776,191822,192421,192615,192623,193809,194941,196491,196501,196843,196394,196353,196471,196931,197576,198251,199014,199373,200270,200685,201027,200370,200259,200316,200472,200554,200563,200228,199936,199468,199418,199355,199319,199099,198336,198173,198703,199311,199162,198214,197948,198247,199043,200058,202104,203871,205103,204892,203914,202116,200787,199660,199122,198110,197085,195568,193384,192130,191617,191582,190849,190189,189780,189600,189398,189334,189182,188886,189260,189817,190702,191608,192808,193946,194945,195731,195962,196536,196951,198625,200329,201743,201772,201713,202448,204087,205470,206250,207162,208116,209975,211392,213054,214264,215623,216603,217313,218252,219241,221020,222547,223920,225001,225942,227247,229312,231496,233931,235630,237467,238773,240266,241922,244030,245899,247777,249187,250061,250775,250856,251265,251203,251837,252239,252755,253013,253297,253423,253321,253914,255341,257155,258379,259797,261444,263396,264678,265399,266499,266970,268279,268614,269833,270727,271584,272008,272626,273586,274804,274991,276046,277941,280528,282264,282370,281655,280692,279526,278943,279052,280050,282099,283460,283670,282829,281957,281773,281567,282447,284537,286808,288553,290060,292173,294711,297621,300543,303969,307658,314671,321846,329324,334263,338936,343925,348606,353503,356919,360625,365546,373249,378872,382132,382691,384286
