RegionName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
79403,32939,32819,32908,33127,33541,33874,34291,34596,35007,35161,35451,35811,36112,35936,35160,34629,34572,34882,35140,35275,35528,35688,35639,35745,35823,35933,35837,36313,36466,36612,35887,35600,35553,36321,37671,38315,38079,38062,38669,39350,39043,38400,38156,38134,38225,38247,38238,38300,38527,38759,39051,38942,39098,39023,39192,39219,39368,39417,39349,39414,39770,40129,40404,40244,40431,40507,40912,40928,41122,41239,41424,41654,42060,42454,42735,42587,42650,42775,43022,43242,42815,42215,41527,41671,42307,43111,44053,44232,44500,44608,45178,45586,45701,46116,45706,45239,44423,43931,43482,42983,42262,41975,41475,41695,41593,41575,41883,41278,40892,40064,40017,40115,40640,41535,42457,42375,41860,41439,41327,41856,41408,41416,41404,42705,43754,43965,44091,44382,45129,44827,44617,44379,44886,45188,44114,42769,41345,41475,41307,41231,41268,41621,41676,41063,41126,41486,41594,40949,39534,38901,38788,39619,40484,41754,42689,43651,44529,45288,46241,46143,47401,46514,46217,44305,44025,44129,44589,45452,45634,46030,45446,45631,46029,47262,47864,48170,48122,48095,49489,51479,53853,55207,55378,54928,53595,53224,52858,52213,51607,51038,51455,50862,49822,48303,47024,46830,47696,49142,50236,51079,51656,51348,50279,49612,49803,50219,50800,50918,50677,49426,48663,48474,48496,49337,50202,51620,52543,52921,54427,55395,56209,55855,55182,54906,55017,55227,55458,54848,54865,55328,56899,59182,61449,63017,63010,62917,63132,64141,64968,65547,65557,64636,64736,65136,66309,66741,67061,68023,68951,70176,71815,72269,72806,72263,72944,74097,75523,76894,78372,79852,81079,81593,81830,82757,83546,85644,87724,90257,92485,94171,94996,94620
75980,33173,33404,33593,33836,34070,34767,35117,35263,34776,34499,34449,34628,35116,35494,35717,35914,36294,36579,36789,36238,36170,36033,36298,36209,36974,37953,38934,39481,40250,40601,40686,40486,40632,40541,40805,42409,43927,45304,44408,43577,42563,42449,41913,41649,41302,41500,41360,40945,41004,40907,41478,41751,43285,44537,46404,46492,47157,47286,48170,48693,48783,48574,49145,48240,47225,45353,46239,48118,50014,51046,52007,53357,54310,54679,55062,55038,54821,54166,53626,53514,52434,52196,51748,52487,52764,52944,52955,53300,54389,55393,56035,56331,56418,56901,57791,58500,58855,58519,58657,58826,59040,58750,58538,58351,58277,58065,57724,57682,57581,57867,58110,58830,59251,59385,59431,59295,59287,59180,59076,59219,59011,58948,58865,59211,59413,59465,59260,59015,58877,58789,58778,58699,58524,57903,57229,56983,57206,57499,57329,56898,56739,56889,57295,57584,58080,58880,59498,60135,60329,60559,60313,59982,59811,59939,60429,60841,61241,61816,62300,62847,63197,63676,63763,63738,63686,63984,64072,64272,64383,65229,66114,67064,67553,68260,68960,69584,69804,70163,70512,70872,70752,71149,71843,73099,73770,74399,74868,75731,76369,76959,77104,77466,77846,78556,78891,79276,79709,80593,81322,82012,82446,83097,83391,83965,84748,86134,87039,87366,87405,87506,87823,87926,87912,88036,88325,88858,88996,89443,90149,91062,92082,92896,93445,95071,96577,98633,99258,100407,100861,101535,102012,102856,103308,103487,103635,104081,,108018,108976,,107515,107481,107369,107212,105959,105218,104186,104384,104795,105485,106649,107451,109974,112105,113824,114202,114642,115838,117186,119119,121225,122765,123723,125969,127924,130569,131481,132646,133561,135637,137956,139325
79411,45828,45646,45791,46009,46344,46559,46784,46941,47170,47347,47732,48041,48200,48082,47960,47916,48026,48246,48520,48852,49110,49397,49451,49493,49155,49027,48827,48885,49247,49286,49421,49356,49523,49873,49990,50389,50816,51388,51263,51302,50711,50558,49922,49857,49897,50029,50208,50380,50398,50325,50256,50385,50745,51082,51375,51300,51330,51409,51740,51909,51826,51760,51725,52101,52537,52963,53283,53442,53694,53851,54117,54368,54491,54590,54641,54944,55412,56006,56624,57064,57390,57285,57254,56659,56353,56399,57066,57585,57591,57640,57810,57804,57999,58111,58568,58716,58569,58345,57857,57870,57611,57326,56740,56173,56363,56858,57562,58061,57971,57950,57917,58159,58259,58448,58967,59179,58629,58259,58320,58726,58584,58271,58275,58671,59422,59549,59618,59103,58408,57305,57040,56560,56472,55772,56014,56256,56411,56965,56651,56302,55336,54707,54530,54539,55761,56885,57880,58229,58182,58349,57404,56295,54857,54542,54622,55501,56407,57005,57437,57113,57798,57311,57775,57722,58148,58149,57812,57478,56918,56247,55442,55175,54932,55093,55332,56321,57892,58869,59807,59809,59651,59014,57675,56478,55038,55052,54629,54773,54472,54487,54166,53750,53547,53288,53486,54029,55123,56085,57386,58266,58808,58907,58731,59125,60057,61401,62727,63511,64428,64941,65768,66195,66652,66506,66078,65703,65630,65685,65774,66293,66833,66893,66374,66334,67301,68023,68797,68909,69371,69634,70039,70681,71262,71390,71483,71505,71728,72265,73037,73163,73509,74585,76120,77143,78028,78748,78957,78833,79129,81608,84377,87501,88914,89805,90775,92303,94393,96557,98120,99447,100414,101611,102992,104704,106392,108048,110137,112134,114370,115701,117232,117755
75949,46178,46332,46137,46167,46425,47796,49335,50274,50773,50753,51750,52438,53510,53985,54357,54941,55427,56193,56814,57042,57303,57533,56833,55913,55749,57088,58450,58960,59687,60269,60855,60947,60932,61115,61295,62333,62873,64054,64817,65856,66518,66536,66244,66308,66297,66768,66756,67226,67627,67665,67899,68047,68998,69641,70768,71255,71842,72029,72659,73518,74290,74889,75497,75530,75724,75276,75439,75214,75185,74762,74629,74995,75294,75478,75219,75370,75661,76227,76529,76675,76279,76081,76086,76584,76902,76871,76930,77409,78025,78527,78682,78987,79034,79435,79688,80155,80436,80280,80321,80390,80693,80728,80663,80946,81164,81458,81586,81881,81696,81515,81372,81619,81922,81816,81869,81803,81922,81870,82024,82224,82021,81392,80886,80637,80620,80409,80404,80193,80347,80352,80742,80751,80475,80427,80670,81386,81574,81735,81734,81508,81666,81937,82640,82951,83156,83255,83254,83582,83873,84356,84730,85072,85339,85654,86148,86703,87084,87413,87475,87817,88261,88917,89304,89537,89701,90132,90550,91136,91552,92061,92478,92969,93522,94250,94945,95613,96213,96941,97615,98386,98720,99328,99816,100764,101504,102255,102836,103528,103952,104494,104772,105362,105959,106888,107579,108292,108724,109451,110021,110994,111530,112360,112920,113914,114907,116005,117052,117946,118526,119094,119706,120175,120497,120660,121172,121860,122488,122946,123338,123740,124596,125451,126170,127344,128450,129873,130401,130831,131139,131574,132244,132828,133379,134026,134502,135232,136697,137412,138189,137534,137902,137632,137792,137790,137932,137825,137802,137879,138327,138948,140154,141079,143836,146468,150318,152521,154786,156107,157667,159481,160804,161582,161877,164993,168291,172345,174034,175875,176852,179175,181301,183279
79415,51660,51692,51845,52349,52947,53249,53303,53072,53098,53264,53732,54329,54657,55079,54991,55195,55167,55421,55574,55475,55569,55418,55220,54384,53873,53823,53999,53187,51705,50368,49456,48888,48546,48415,48456,49506,51119,51519,51236,50620,49866,48659,47319,47455,47449,47477,47337,47374,47408,47672,47723,47928,48052,48374,48708,48832,49041,49040,49171,49087,48996,49176,49401,49883,50203,50504,50812,50981,51273,51324,51372,51451,51518,51858,52013,52395,,56182,58251,59032,59903,60443,60230,59462,58894,59242,60107,61143,61646,61907,61919,61621,61913,61967,62544,62543,62836,63252,62776,62018,60702,59903,59520,58962,58843,58600,58194,57976,58216,59437,61178,62287,63159,63740,64499,65445,65425,65307,65039,65370,64696,63447,62242,62355,63327,63875,64043,63751,63156,62500,62244,62285,62878,62938,63147,62886,62724,63028,62860,62507,61961,61999,62471,62592,62644,61862,61700,60862,59228,57312,55695,55327,55412,56419,57670,60003,62054,63455,63678,63147,63554,63580,64441,64608,64396,64022,64271,64891,65308,65474,64829,64362,63434,63333,63164,63555,64132,64182,64350,63880,63466,62623,61864,61079,60004,59729,59523,59885,59753,59023,58010,57691,57267,56408,55028,54993,55991,57095,58255,58855,59343,59641,59907,60656,61131,62050,62240,63265,64535,66049,66565,66686,66526,66856,66764,66920,67480,68625,70112,70844,70655,69787,68924,68703,69467,70252,71082,70846,70785,70900,72096,73898,75677,76204,76269,75852,75815,76041,77204,77868,78036,77631,77987,78355,79493,80837,82241,82737,83068,84020,85584,86561,86933,87130,87833,88370,88476,89414,91252,93692,95441,96928,98239,99464,100730,103124,104745,106491,107201,108315,109210,109093
78207,52396,52440,52664,52860,52548,52115,51729,52029,52037,52144,52078,52076,51930,51506,51045,50521,50250,50233,50322,50293,50020,49874,49494,49481,49291,49769,49980,50688,51015,51710,51355,51486,51182,51565,51885,52130,52085,51624,51333,51296,51610,51690,51799,51676,51936,52113,52470,52821,53658,54389,55073,56082,56922,57349,57836,58530,59792,59781,59863,59886,60460,60942,61192,61303,61319,61694,62135,62442,62837,63612,63799,63959,63015,63365,63032,63191,62818,63018,63360,63456,64079,64348,64477,64640,65272,66011,65471,65452,65390,66409,67335,68325,68809,69032,68949,68763,68186,68586,69209,69734,69717,69478,69177,68704,68264,68280,68771,68544,67167,65392,65247,66646,68416,68911,68283,66389,66226,66208,67401,67192,67080,66220,65021,63563,62430,61351,61104,61376,61520,61515,61207,61097,60412,59591,59545,60051,60574,60491,60667,61021,60776,60731,60456,60581,60122,59284,58777,57708,57934,57788,57743,56875,56259,56167,56638,56677,57165,57599,58607,59398,60067,60491,60660,60033,59044,58051,57638,58396,59591,60412,60621,59818,59578,59693,60695,60795,60409,59467,59478,59511,59841,60432,61142,61949,63078,64577,65990,67439,68204,69603,70208,71587,72835,73870,74774,75025,74807,74853,75014,74923,74169,73383,73480,73907,74920,75597,75707,75470,75291,75633,76243,77245,77420,77171,76967,77679,79003,81020,83038,84502,84796,84969,85227,86428,86486,86719,86447,87865,89249,90976,91948,93062,93531,94719,95094,95987,96599,96729,96661,95899,96211,95935,96332,95866,95617,95088,95288,96738,98852,101107,102127,103250,104371,106442,108669,111951,115720,118873,122123,125283,128874,130854,132436,133549,136477,138899,141939,144510,146316,146794,145744,145284
79401,53756,53512,53527,53477,53545,53183,52937,52730,53101,53435,54249,54837,55235,55294,55478,56084,56679,57008,57474,58149,59044,59684,59560,59177,58303,57936,57990,59408,60944,62295,62384,62345,62478,62794,62707,63021,63683,64584,64860,64727,64493,64102,64016,64256,64789,65158,65474,65731,65809,65738,65631,65475,65421,65445,65701,66089,66447,66991,67431,67803,67777,68058,68118,68553,68549,68609,68801,69375,70113,70693,71230,71686,71856,71941,72168,72451,72969,73502,74556,75512,76768,77794,78806,79278,79509,80171,81201,82199,82002,81785,81345,80958,80631,80563,81000,81095,81042,81164,80358,79665,78729,78496,78327,78244,78295,78385,78304,78490,78651,78469,78442,78356,78638,79076,79279,79049,77980,77461,77543,78406,78198,77623,77250,78037,79732,80612,81324,81356,81234,80020,79472,78382,78585,78446,78804,78958,78838,79227,78923,78024,77417,77139,77100,76965,77183,77889,78600,78916,78459,77690,76131,74662,73720,73372,73501,74784,76446,77337,77350,76413,77532,77309,78417,78265,78988,79257,79989,80389,81229,80813,80957,81035,81227,81043,79912,79258,79005,79037,79962,80038,79289,77911,75491,73819,71614,71155,70966,71669,72276,72802,73150,73278,73655,73517,73124,73184,73882,75155,76412,77594,78319,78799,78713,79266,79685,80473,81131,81842,82973,84190,86333,88660,89948,90860,91145,91961,91936,92355,92965,93732,93386,92626,91497,91402,91837,92620,93586,94033,94661,94875,95011,95122,95027,94955,95326,95699,95888,95899,96161,96280,96468,96912,98900,100419,102331,102547,102839,102939,103684,105599,108376,111228,113672,115092,117177,119654,122672,125628,127577,129239,130454,131935,132502,133102,133796,135303,136908,138537,140385,141974,144126,144998
79311,57034,55989,56150,56602,57522,56432,54974,54173,54805,54850,54401,54381,54557,55061,55282,56641,57872,59580,60551,61200,61776,61945,62444,62704,63045,63198,63058,64616,66259,68149,68250,68151,67347,66793,66224,66466,67126,68277,69203,69238,68778,67967,67441,67084,67038,67172,67323,67910,68274,68647,68660,68583,68457,68192,68295,68453,68455,68572,69035,69815,70195,70513,71372,72169,72706,72516,72001,71401,70781,70778,71006,71599,72249,72852,72597,72487,72469,73119,73523,73646,73730,73834,74281,74879,75525,75910,76164,76195,76175,76114,76173,76548,77003,77558,77941,78388,78795,78935,78779,78248,77742,77285,77069,77469,78026,78566,78815,78831,79003,78609,78449,77921,77644,77380,77337,77402,77109,76901,76760,76905,76743,76292,76246,76580,77107,77101,77129,77127,76935,76601,76326,76196,75927,75535,74973,74844,74802,75044,74941,74690,74579,74546,74831,74751,74807,74624,74852,74760,74865,74826,75063,75126,75405,75553,75852,76174,76727,76965,77083,76927,77317,77768,78370,78710,78687,78519,78368,78244,78417,78822,79600,80105,80594,80654,80582,80150,79785,79609,79744,80391,81165,81743,82147,82504,82731,83228,83947,84753,85728,86312,87188,87599,87980,88224,88174,88199,88401,88557,88788,89035,89085,89298,89323,89983,90458,91075,91667,92314,92893,93219,93438,93527,93665,93916,93977,93995,94639,95897,97634,98748,99435,99605,99685,99944,100371,100996,101494,101703,101513,101198,100894,101059,101037,101447,101614,102045,102443,103038,103867,104314,104627,104465,104541,104720,105214,105979,106735,107412,107913,108407,109373,110223,111667,112802,113658,115176,116612,118700,119928,121266,122447,123277,123206,124682,126113,128656,129742,131561,132958,135373,137386,139753
79404,57307,57180,57187,57278,57724,58283,58913,59537,60447,61005,61391,61662,61702,61365,60777,60435,60333,60182,60294,60502,60844,61228,61165,61145,60888,60338,59555,57514,56003,54678,54292,53985,53029,53170,53304,54144,54450,55996,57028,57799,57630,57745,57984,57979,58011,58231,58382,58695,58659,58886,58905,59185,59241,59362,59477,59633,59859,60046,60296,60632,60836,61175,61391,61780,62090,62391,62743,62987,63274,63412,63697,64136,64509,64887,64994,65276,65333,65367,65291,65169,,63380,63389,64145,64597,64254,64254,64197,64556,65327,66533,67203,67917,67231,66342,65226,65058,66059,65967,66592,65739,65033,63319,61938,60922,61150,61920,63498,63192,63068,62474,62123,61823,61573,62450,62079,60936,59899,60370,61764,62372,62066,62129,63169,64814,64789,64022,63204,62667,60978,59879,59448,60149,60148,60475,60295,59464,59068,58828,58945,58580,58213,58133,58078,59283,60515,60659,59805,59072,59380,58800,58311,57940,57980,57809,57149,57079,56695,57055,56812,58030,57416,57179,55555,55095,55520,56388,57044,57196,56822,56394,56358,55813,55979,55826,56781,57254,56548,56034,55600,55593,55034,54536,54381,54132,54185,53879,53500,53045,53038,53215,52747,52238,51654,51722,52181,53033,53871,54614,55714,56353,56602,55856,55178,54784,54576,54586,54666,54926,55315,55740,56028,56205,56721,57128,57509,57844,58569,59736,60204,60082,58992,58579,58888,60505,62066,63412,63453,63088,63000,63618,64539,65838,66950,67621,67737,67789,68114,68074,68208,68095,67638,67299,66902,67350,67896,68911,69454,70017,70698,71583,72082,72512,73017,73800,74102,74405,74873,76230,77687,79547,80527,81460,82042,83083,85265,86732,88527,89655,90934,91523,91522
75901,59803,59915,60050,60324,60688,61046,61414,61549,61726,61868,62283,62631,63174,63591,63995,64255,64427,64579,64729,64821,64982,65060,65061,65026,65113,65387,65652,65786,66102,66371,66640,66747,66885,67111,67260,67455,67625,67869,68182,68520,68760,68811,68777,68790,68733,68714,68680,68740,68895,69086,69441,69695,70059,70346,70645,70864,71092,71309,71521,71767,72129,72505,72821,72856,72907,72848,72906,72771,72690,72650,72839,73103,73474,73744,73993,74190,74463,74745,74962,75145,75374,75688,76050,76467,76881,77243,77639,77995,78317,78522,78651,78824,79001,79194,79417,79603,79768,79784,79802,79860,79996,80123,80134,80176,79858,79569,79268,79265,79177,79101,79237,79348,79462,79335,79323,79212,79122,78956,78904,78838,78744,78556,78447,78515,78675,78733,78767,78656,78680,78600,78577,78423,78119,77681,77361,77271,77343,77378,77429,77431,77760,78133,78610,78783,78941,79105,79249,79397,79537,79690,79863,80005,80164,80348,80615,80950,81304,81644,81949,82287,82751,83307,83917,84462,84970,85432,85801,86192,86647,87107,87572,87996,88535,89178,89778,90350,90970,91654,92325,92848,93447,94151,94852,95451,95958,96473,97029,97634,98098,98568,98935,99505,100103,100883,101549,102207,102681,103247,103780,104461,104821,105198,105490,106190,106975,107872,108603,109259,109711,110166,110632,111027,111366,111596,111991,112573,113186,113795,114352,114907,115437,115882,116243,117326,118392,119553,119941,120340,120751,121273,121860,122455,122959,123433,123848,124244,124261,124638,125024,125616,125955,125939,125967,125845,125444,125108,124849,124986,125261,125451,126130,126627,128629,130756,133070,134156,135329,136422,137756,139045,140866,142213,143271,145992,148681,152092,153403,155094,156056,158386,160606,162738
