,0,
77449,0,
76015,0,
78255,0,
76247,0,
76117,0,
79904,0,
79935,0,
75223,0,
79412,0,
77047,0,
76103,0,
77086,0,
75229,0,
77066,0,
77053,0,
75407,0,
77536,0,
78242,0,
77067,0,
77476,0,
77079,0,
75232,0,
77032,0,
77477,0,
78211,0,
78217,0,
76118,0,
75038,0,
77041,0,
75041,0,
77328,0,
79930,0,
77378,0,
75204,0,
78212,0,
75009,0,
75208,0,
77071,0,
75137,0,
77038,0,
76016,0,
75409,0,
75214,0,
75901,0,
78220,0,
77587,0,
76018,0,
77016,0,
75089,0,
77033,0,
75241,0,
76110,0,
76107,0,
75203,0,
75233,0,
75215,0,
77566,0,
77091,0,
77301,0,
75235,0,
77571,0,
77389,0,
75077,0,
77078,0,
77098,0,
78723,0,
78225,0,
77009,0,
77049,0,
76039,0,
77377,0,
78261,0,
77339,0,
76123,0,
79849,0,
76227,0,
77092,0,
79915,0,
75248,0,
75234,0,
77035,0,
77063,0,
75075,0,
77489,0,
76002,0,
78108,0,
75209,0,
76021,0,
77520,0,
76164,0,
77530,0,
75249,0,
79903,0,
77017,0,
78229,0,
77422,0,
75238,0,
75201,0,
76014,0,
76092,0,
77096,0,
76001,0,
77304,0,
76013,0,
77381,0,
77076,0,
78732,0,
77461,0,
77058,0,
77531,0,
78015,0,
77382,0,
75001,0,
78749,0,
77506,0,
77004,0,
77045,0,
77598,0,
78750,0,
78148,0,
79934,0,
76135,0,
77056,0,
75252,0,
76208,0,
77356,0,
78752,0,
78724,0,
76115,0,
77504,0,
77385,0,
78729,0,
77006,0,
75134,0,
78731,0,
77027,0,
77503,0,
75212,0,
78653,0,
78222,0,
77380,0,
77302,0,
77005,0,
77401,0,
76111,0,
75036,0,
75078,0,
75253,0,
77043,0,
76105,0,
77464,0,
75218,0,
77384,0,
76126,0,
77021,0,
77345,0,
77019,0,
77037,0,
76109,0,
75146,0,
78260,0,
75180,0,
78617,0,
78754,0,
75082,0,
75159,0,
76011,0,
75225,0,
77054,0,
78224,0,
79905,0,
78728,0,
78739,0,
75205,0,
75094,0,
76266,0,
76052,0,
75116,0,
76020,0,
77023,0,
76132,0,
76114,0,
78734,0,
75088,0,
78219,0,
77051,0,
76104,0,
79932,0,
75254,0,
76120,0,
77447,0,
78747,0,
78738,0,
77020,0,
77011,0,
76140,0,
77022,0,
77013,0,
77031,0,
77039,0,
78737,0,
78244,0,
77532,0,
77545,0,
77012,0,
77578,0,
78746,0,
77026,0,
78238,0,
77029,0,
75236,0,
76008,0,
75240,0,
77478,0,
78239,0,
77069,0,
77062,0,
79902,0,
77061,0,
78259,0,
76134,0,
77048,0,
76034,0,
77357,0,
77085,0,
78214,0,
79403,0,
76209,0,
78735,0,
78727,0,
76012,0,
78023,0,
77028,0,
75230,0,
77030,0,
78730,0,
77505,0,
77082,0,
79907,0,
78226,0,
77546,0,
76119,0,
79411,0,
78223,0,
77444,0,
78203,0,
78207,0,
79821,0,
76249,0,
77088,0,
75070,0,
77070,0,
77873,0,
75149,0,
75287,0,
78101,0,
77362,0,
75115,0,
78247,0,
78254,0,
78742,0,
77498,0,
77386,0,
77486,0,
75080,0,
75941,0,
75072,0,
76116,0,
78758,0,
78744,0,
78233,0,
78704,0,
78112,0,
77081,0,
77406,0,
75244,0,
78073,0,
76060,0,
75074,0,
75023,0,
77044,0,
75216,0,
77469,0,
78725,0,
78741,0,
78652,0,
77480,0,
75025,0,
79401,0,
78227,0,
76258,0,
77015,0,
78753,0,
75173,0,
79928,0,
76259,0,
76462,0,
77346,0,
77534,0,
76028,0,
78263,0,
79311,0,
77450,0,
77430,0,
75068,0,
75035,0,
76244,0,
77036,0,
75002,0,
78152,0,
76476,0,
77417,0,
77083,0,
78245,0,
78719,0,
78613,0,
78641,0,
77095,0,
77459,0,
77072,0,
77050,0,
75071,0,
79838,0,
78002,0,
77521,0,
78240,0,
76010,0,
77375,0,
75227,0,
79836,0,
75056,0,
75141,0,
79924,0,
75424,0,
77485,0,
78250,0,
75043,0,
78208,0,
78251,0,
75098,0,
75211,0,
77077,0,
78745,0,
78215,0,
75040,0,
78228,0,
79912,0,
75093,0,
77099,0,
75062,0,
77502,0,
78248,0,
75246,0,
78264,0,
75231,0,
75172,0,
77372,0,
76248,0,
78209,0,
76054,0,
75042,0,
77068,0,
75182,0,
78154,0,
75065,0,
75166,0,
79925,0,
77471,0,
78733,0,
77306,0,
78645,0,
77074,0,
78202,0,
78237,0,
78610,0,
75154,0,
78726,0,
78221,0,
78232,0,
76180,0,
77336,0,
77014,0,
76262,0,
77494,0,
77087,0,
76106,0,
77073,0,
79936,0,
77084,0,
78210,0,
75069,0,
77065,0,
75206,0,
78252,0,
75224,0,
78660,0,
77562,0,
78218,0,
77583,0,
79927,0,
78109,0,
77094,0,
78721,0,
75044,0,
76133,0,
77479,0,
77441,0,
75033,0,
78230,0,
77042,0,
79901,0,
78253,0,
77080,0,
77493,0,
77093,0,
78736,0,
77064,0,
77379,0,
78669,0,
76102,0,
75454,0,
77547,0,
75949,0,
77581,0,
78258,0,
78201,0,
78257,0,
77040,0,
79922,0,
77388,0,
78748,0,
77511,0,
77584,0,
78756,0,
79835,0,
77075,0,
77365,0,
75013,0,
77024,0,
76112,0,
77060,0,
78256,0,
79329,0,
75050,0,
77055,0,
75210,0,
75442,0,
78759,0,
79938,0,
77090,0,
78231,0,
75034,0,
75220,0,
78216,0,
75024,0,
77338,0,
76210,0,
78213,0,
77429,0,
75217,0,
77057,0,
76201,0.367647059,1.00000016
77586,0.367647059,1.00000016
78204,0.367647059,1.00000016
75969,0.367647059,1.00000016
75048,0.367647059,1.00000016
76022,0.367647059,1.00000016
77002,0.367647059,1.00000016
77484,0.367647059,1.00000016
76207,0.367647059,1.00000016
77059,0.367647059,1.00000016
79382,0.367647059,1.00000016
79404,0.367647059,1.00000016
76006,0.367647059,1.00000016
78616,0.367647059,1.00000016
79364,0.367647059,1.00000016
78701,0.367647059,1.00000016
77318,0.367647059,1.00000016
78052,0.367647059,1.00000016
75237,0.367647059,1.00000016
77303,0.367647059,1.00000016
77577,0.367647059,1.00000016
78654,0.367647059,1.00000016
78620,0.367647059,1.00000016
77541,0.367647059,1.00000016
79415,0.367647059,1.00000016
76051,0.367647059,1.00000016
75219,0.367647059,1.00000016
75060,0.367647059,1.00000016
75028,0.367647059,1.00000016
79424,0.367647059,1.00000016
75022,0.367647059,1.00000016
77373,0.367647059,1.00000016
77034,0.367647059,1.00000016
75052,0.367647059,1.00000016
77433,0.367647059,1.00000016
75051,0.367647059,1.00000016
76137,0.367647059,1.00000016
75067,0.367647059,1.00000016
78249,0.367647059,1.00000016
75007,0.367647059,1.00000016
75228,0.367647059,1.00000016
76053,0.367647059,1.00000016
76131,0.367647059,1.00000016
75010,0.367647059,1.00000016
76108,0.367647059,1.00000016
76036,0.367647059,1.00000016
76040,0.367647059,1.00000016
75181,0.367647059,1.00000016
76063,0.367647059,1.00000016
75150,0.367647059,1.00000016
76182,0.367647059,1.00000016
77515,0.367647059,1.00000016
78664,0.367647059,1.00000016
77316,0.367647059,1.00000016
77396,0.367647059,1.00000016
77354,0.367647059,1.00000016
76148,0.367647059,1.00000016
75662,0.367647059,1.00000016
76205,0.367647059,1.00000016
76179,0.367647059,1.00000016
76017,0.367647059,1.00000016
77089,0.367647059,1.00000016
77407,0.367647059,1.00000016
75081,0.735294118,2.00000032
79407,0.735294118,2.00000032
75243,0.735294118,2.00000032
77355,0.735294118,2.00000032
78703,0.735294118,2.00000032
75061,0.735294118,2.00000032
79410,0.735294118,2.00000032
75189,0.735294118,2.00000032
78659,0.735294118,2.00000032
78650,0.735294118,2.00000032
75904,0.735294118,2.00000032
75980,0.735294118,2.00000032
79423,0.735294118,2.00000032
75057,0.735294118,2.00000032
78069,0.735294118,2.00000032
79363,1.102941176,3.00000048
78006,1.102941176,3.00000048
75104,1.102941176,3.00000048
75602,1.102941176,3.00000048
75019,1.102941176,3.00000048
75006,1.102941176,3.00000048
76226,1.102941176,3.00000048
75603,1.102941176,3.00000048
79416,1.102941176,3.00000048
77007,1.470588235,4.00000064
78662,1.470588235,4.00000064
79414,1.470588235,4.00000064
75063,1.470588235,4.00000064
79366,1.470588235,4.00000064
79413,1.470588235,4.00000064
77523,1.470588235,4.00000064
78757,1.470588235,4.00000064
78621,1.470588235,4.00000064
75647,1.838235294,5.0000008
75605,1.838235294,5.0000008
75693,1.838235294,5.0000008
76049,1.838235294,5.0000008
75601,2.205882353,6.00000096
78612,2.205882353,6.00000096
78957,2.573529412,7.00000112
78602,2.941176471,8.00000128
76048,2.941176471,8.00000128
78751,3.308823529,9.00000144
75604,3.676470588,10.0000016
78535,4.411764706,12.00000192
77590,4.411764706,12.00000192
77554,4.411764706,12.00000192
78520,4.411764706,12.00000192
77518,4.411764706,12.00000192
77573,4.411764706,12.00000192
78575,4.411764706,12.00000192
78550,4.411764706,12.00000192
78566,4.411764706,12.00000192
77650,4.411764706,12.00000192
77591,4.411764706,12.00000192
77539,4.411764706,12.00000192
78583,4.411764706,12.00000192
77550,4.411764706,12.00000192
77563,4.411764706,12.00000192
77565,4.411764706,12.00000192
77568,4.411764706,12.00000192
77517,4.779411765,13.00000208
78593,4.779411765,13.00000208
77551,4.779411765,13.00000208
77510,4.779411765,13.00000208
78592,4.779411765,13.00000208
78578,4.779411765,13.00000208
78526,4.779411765,13.00000208
78559,4.779411765,13.00000208
78552,4.779411765,13.00000208
78586,4.779411765,13.00000208
78521,5.147058824,14.00000224
78597,5.514705882,15.0000024
78705,7.352941176,20.0000032
78615,9.191176471,25.000004
77025,9.558823529,26.00000416
78702,10.66176471,29.00000464
77623,12.13235294,33.00000528
77008,12.5,34.00000544
78640,13.23529412,36.00000576
75226,13.60294118,37.00000592
75054,13.60294118,37.00000592
78666,13.97058824,38.00000608
77435,14.70588235,40.0000064
77358,15.44117647,42.00000672
77018,15.80882353,43.00000688
78634,16.17647059,44.00000704
75125,16.54411765,45.0000072
78567,16.54411765,45.0000072
78722,18.01470588,49.00000784
75087,20.58823529,56.00000896
78411,21.32352941,58.00000928
78414,21.32352941,58.00000928
78416,21.32352941,58.00000928
78343,21.32352941,58.00000928
78373,21.32352941,58.00000928
78409,21.32352941,58.00000928
78415,21.32352941,58.00000928
78410,21.32352941,58.00000928
78383,21.32352941,58.00000928
78413,21.32352941,58.00000928
78417,21.32352941,58.00000928
78418,21.32352941,58.00000928
78351,21.32352941,58.00000928
78402,21.32352941,58.00000928
78380,21.32352941,58.00000928
78412,21.32352941,58.00000928
78404,21.32352941,58.00000928
77665,22.05882353,60.0000096
77613,22.05882353,60.0000096
77702,22.05882353,60.0000096
77619,22.05882353,60.0000096
77651,22.05882353,60.0000096
77708,22.05882353,60.0000096
77713,22.05882353,60.0000096
77627,22.05882353,60.0000096
77703,22.05882353,60.0000096
77701,22.05882353,60.0000096
77642,22.05882353,60.0000096
77705,22.05882353,60.0000096
77640,22.05882353,60.0000096
78953,22.42647059,61.00000976
76035,22.42647059,61.00000976
79911,22.42647059,61.00000976
78406,22.42647059,61.00000976
76065,22.42647059,61.00000976
78124,22.42647059,61.00000976
77622,22.42647059,61.00000976
78266,22.42647059,61.00000976
76433,22.42647059,61.00000976
77707,22.42647059,61.00000976
78656,22.79411765,62.00000992
79250,22.79411765,62.00000992
79313,23.16176471,63.00001008
79358,23.16176471,63.00001008
78039,23.16176471,63.00001008
77706,23.16176471,63.00001008
75452,23.16176471,63.00001008
75691,23.16176471,63.00001008
76234,23.89705882,65.0000104
77420,23.89705882,65.0000104
78009,23.89705882,65.0000104
76071,23.89705882,65.0000104
78941,24.26470588,66.00001056
75645,24.26470588,66.00001056
77535,24.63235294,67.00001072
78663,25.36764706,69.00001104
78010,26.47058824,72.00001152
76087,26.47058824,72.00001152
78025,26.47058824,72.00001152
78013,26.47058824,72.00001152
78024,26.83823529,73.00001168
78028,26.83823529,73.00001168
78401,26.83823529,73.00001168
76177,26.83823529,73.00001168
75039,26.83823529,73.00001168
77003,27.57352941,75.000012
75495,28.67647059,78.00001248
79343,28.67647059,78.00001248
78623,30.88235294,84.00001344
78574,30.88235294,84.00001344
78539,30.88235294,84.00001344
78557,30.88235294,84.00001344
78549,30.88235294,84.00001344
78576,30.88235294,84.00001344
78579,30.88235294,84.00001344
78596,30.88235294,84.00001344
78589,30.88235294,84.00001344
78504,30.88235294,84.00001344
78130,30.88235294,84.00001344
78516,30.88235294,84.00001344
78543,30.88235294,84.00001344
78538,30.88235294,84.00001344
78562,30.88235294,84.00001344
78570,30.88235294,84.00001344
78676,30.88235294,84.00001344
78595,30.88235294,84.00001344
78542,30.88235294,84.00001344
78560,30.88235294,84.00001344
78619,30.88235294,84.00001344
78572,31.25,85.0000136
78537,31.25,85.0000136
78577,31.25,85.0000136
78503,31.25,85.0000136
78599,31.25,85.0000136
78573,31.25,85.0000136
78541,31.25,85.0000136
78501,31.25,85.0000136
78330,32.72058824,89.00001424
78681,33.45588235,91.00001456
78626,33.45588235,91.00001456
78642,33.45588235,91.00001456
78628,33.45588235,91.00001456
76578,33.45588235,91.00001456
78665,33.45588235,91.00001456
76577,33.45588235,91.00001456
78633,33.82352941,92.00001472
78717,34.19117647,93.00001488
77445,34.92647059,95.0000152
75491,35.29411765,96.00001536
78631,35.29411765,96.00001536
77868,35.66176471,97.00001552
77363,35.66176471,97.00001552
76574,35.66176471,97.00001552
77617,35.66176471,97.00001552
78339,35.66176471,97.00001552
77327,36.02941176,98.00001568
78058,36.02941176,98.00001568
76537,36.02941176,98.00001568
76273,36.02941176,98.00001568
78407,37.13235294,101.0000162
75126,37.13235294,101.0000162
78408,37.13235294,101.0000162
75032,37.13235294,101.0000162
78405,37.13235294,101.0000162
75160,37.5,102.0000163
76554,38.60294118,105.0000168
76559,38.60294118,105.0000168
76539,38.60294118,105.0000168
76542,38.60294118,105.0000168
76519,38.60294118,105.0000168
76501,38.60294118,105.0000168
76504,38.60294118,105.0000168
76569,38.60294118,105.0000168
76557,38.60294118,105.0000168
76534,38.60294118,105.0000168
76549,38.60294118,105.0000168
76579,38.60294118,105.0000168
76548,38.60294118,105.0000168
76541,38.60294118,105.0000168
76502,38.60294118,105.0000168
76571,38.60294118,105.0000168
76543,38.60294118,105.0000168
76513,38.60294118,105.0000168
76689,39.70588235,108.0000173
76487,39.70588235,108.0000173
75117,39.70588235,108.0000173
