,zip codes,slope,intercept
0,77449,1.6172173958750464e-13,-65630.33371319325
1,77494,2.5206604249559004e-13,-39470.80914721411
2,79936,8.750018093341218e-14,5645.012460797749
3,77084,1.5771226569833691e-13,-60454.764026009856
4,78660,2.6965667191861447e-13,-137170.8642405064
5,77479,2.924419345351436e-13,-61980.2389619305
6,77429,2.0669413517679789e-13,-56666.14260071065
7,75217,1.1312416041042088e-13,-51564.043566666674
8,77584,1.9437883399755044e-13,-30430.09592696739
9,77379,1.9237141991532883e-13,-34612.99979861776
10,75211,1.5480592853661474e-13,-84877.60690906263
11,79938,7.990830037136567e-14,46217.89293578989
12,79912,1.237707949241566e-13,16232.901218952844
13,78641,3.0049527648218066e-13,-148090.46142087068
14,78613,3.643778244136289e-13,-220441.1504049346
15,78245,1.5424783198756552e-13,-47665.467895241425
16,77083,1.4677632674839709e-13,-48409.175953589554
17,75002,2.994544061012968e-13,-156943.28118704486
18,77036,1.1259113577975256e-13,-49329.3428089387
19,76244,2.340361395693982e-13,-98568.52260311693
20,77095,1.850127224304223e-13,-56884.77325003102
21,75035,3.929999835114327e-13,-196830.46969117515
22,77450,2.270558938639426e-13,-83575.14809252793
23,75243,1.993906543678168e-13,-114921.0035902863
24,76028,2.2176676817539685e-13,-118125.73318480884
25,77346,1.7266870524062568e-13,-42643.90949127672
26,79928,6.91127075561257e-14,58650.74994306479
27,75068,2.7066426179769227e-13,-135937.3381197299
28,77459,1.9743274098562592e-13,-19825.389186813118
29,77072,1.5646774868461763e-13,-101571.3768827961
30,78228,1.406840035951914e-13,-74042.98610552233
31,75040,1.8454897876785353e-13,-98158.12813369336
32,78745,4.2166165005719965e-13,-308490.6064723358
33,77077,2.4283560023573263e-13,-68976.19263596059
34,75098,2.743066596560126e-13,-144283.05799061005
35,78251,1.591580387412701e-13,-50986.413522319635
36,75043,1.7538173719275554e-13,-77665.6512740484
37,78250,1.7068606108430802e-13,-86399.60367951519
38,79924,7.293954988442666e-14,3524.3224873167055
39,75056,3.073539148039476e-13,-160144.85212965595
40,75227,1.4193903940543073e-13,-80893.87065643095
41,77375,1.8106922386354346e-13,-51076.28914209167
42,76010,1.4029893120825422e-13,-70331.70016335757
43,78240,1.6984034996244208e-13,-67839.46887300137
44,77521,1.5092668126591873e-13,-53251.43186130849
45,75071,3.202819773708603e-13,-153205.22843952267
46,78753,3.200101901596109e-13,-223302.6385357787
47,77015,1.2815663428100946e-13,-57573.70115607664
48,77386,1.9247034813822595e-13,-40443.3677127097
49,78254,1.8575604467380297e-13,-56122.18020895656
50,78247,1.9045381069401447e-13,-89338.06288299224
51,75115,1.6914983117607383e-13,-51414.980517854216
52,75287,2.9346491279379286e-13,-130263.85076893182
53,75149,1.630725451693332e-13,-101472.79725483779
54,77070,1.7119232636978088e-13,-56021.44994390302
55,75070,3.1323563247170476e-13,-149645.4522189348
56,77498,1.8375562564759767e-13,-56426.67228320683
57,77088,1.3922003289375177e-13,-73992.44282220198
58,78207,8.046086251507873e-14,-34447.89569459073
59,78223,1.292698540437419e-13,-48177.674583551445
60,76119,1.0687949355127754e-13,-50000.19464731024
61,77546,2.2556299073870412e-13,-77467.62283526175
62,79907,6.854838497761946e-14,3015.3408121804823
63,77082,1.4500619232019075e-13,-38460.05993475931
64,75080,3.0915136367267087e-13,-176950.05101703154
65,75025,3.375039156290889e-13,-147942.8398016162
66,78741,3.370921237962211e-13,-226273.40586793266
67,77469,1.7762562346538614e-13,-35291.55568942049
68,75216,8.552206999878924e-14,-24462.40149692037
69,77044,1.396100388984704e-13,-8633.780090186105
70,75023,2.8634801277519e-13,-158595.39956999448
71,75074,2.3926866463936986e-13,-117465.91450474324
72,78227,1.1944650381085828e-13,-54862.12211311332
73,77406,2.1711598301032846e-13,-33728.7961556933
74,77081,1.812695268181194e-13,-73612.35868941952
75,78704,7.723577772993946e-13,-557226.3008573343
76,78233,1.583674964226977e-13,-75283.25963672085
77,78744,2.8672081098475757e-13,-193305.49932702756
78,78758,3.907339725693927e-13,-306715.41962188884
79,76116,1.9153938808597417e-13,-100181.8157572751
80,75072,3.2960408849939197e-13,-159635.4193164659
81,77099,1.5782445591683738e-13,-93940.19231954175
82,75093,3.9977428770008564e-13,-132938.34343714482
83,76133,1.7424210562911167e-13,-97433.155762411
84,75062,1.6725905457180497e-13,-59948.725372492656
85,78748,3.40182297750121e-13,-203058.6573695782
86,77388,1.6876500657041388e-13,-50204.400416815624
87,77040,1.5031756517454754e-13,-48780.67747907757
88,78201,1.5667165869339947e-13,-85473.69969864549
89,78258,2.4781489053520347e-13,-26313.56851476361
90,77581,2.1598409171907282e-13,-77628.89484412095
91,77511,1.830508042861396e-13,-85815.68414889532
92,77064,1.5655425072609487e-13,-54125.83442920711
93,77093,9.873441975223863e-14,-33506.683242532396
94,77493,2.226752567935161e-13,-99262.46250666375
95,77080,2.4914071071427195e-13,-132393.21042632504
96,78253,1.8504127956121712e-13,-20762.893940697133
97,77042,1.9813492204719114e-13,-78636.06633537123
